text(Palau)	text(is:positioned:in)	text(密克羅尼西亞群島)
text(Palau)	text(was:sited:in)	text(ओशिआनिया)
text(मालदीव)	text(is:sited:in)	text(جنوب:آسيا)
text(Malediven)	text(was:localized:in)	text(Asia)
text(汶莱)	text(is:localized:in)	text(Sudeste:Asiático)
text(Brunei)	text(was:present:in)	text(亞洲)
text(بروناي)	text(was:a:neighboring:country:of)	text(ماليزيا)
text(日本)	text(is:present:in)	text(पूर्वी:एशिया)
text(اليابان)	text(is:still:in)	text(آسيا)
text(荷蘭)	text(was:still:in)	text(Europa:Occidental)
text(नीदरलैण्ड)	text(neighbors:with)	text(ألمانيا)
text(Países:Bajos)	text(was:a:neighbor:of)	text(بلجيكا)
text(تركيا)	text(was:currently:in)	text(पश्चिमी:एशिया)
text(तुर्की)	text(is:a:neighbor:of)	text(أرمينيا)
text(Turquía)	text(is:a:neighboring:state:to)	text(अज़रबैजान)
text(土耳其)	text(was:a:neighboring:state:to)	text(ईरान)
text(Turkije)	text(borders:with)	text(Greece)
text(Turkey)	text(borders)	text(جورجيا)
text(تركيا)	text(is:butted:against)	text(保加利亚)
text(तुर्की)	text(was:butted:against)	text(Irak)
text(Turquía)	text(was:adjacent:to)	text(Syria)
text(Angola)	text(is:currently:in)	text(中部非洲)
text(Angola)	text(is:placed:in)	text(África)
text(安哥拉)	text(is:adjacent:to)	text(刚果民主共和国)
text(أنغولا)	text(neighbors)	text(纳米比亚)
text(अंगोला)	text(is:a:neighboring:country:of)	text(Zambia)
text(Angola)	text(was:a:neighboring:country:of)	text(República:del:Congo)
text(Armenia)	text(was:placed:in)	text(西亚)
text(Armenië)	text(can:be:found:in)	text(एशिया)
text(आर्मीनिया)	text(neighbors:with)	text(जॉर्जिया)
text(Armenia)	text(was:a:neighbor:of)	text(阿塞拜疆)
text(亞美尼亞)	text(is:a:neighbor:of)	text(Iran)
text(أرمينيا)	text(is:a:neighboring:state:to)	text(土耳其)
text(Antigua:and:Barbuda)	text(was:situated:in)	text(加勒比地区)
text(Antigua:en:Barbuda)	text(is:situated:in)	text(महाअमेरिका)
text(एस्वातीनी)	text(is:located:in)	text(南部非洲)
text(斯威士兰)	text(was:located:in)	text(अफ्रीका)
text(Eswatini)	text(was:a:neighboring:state:to)	text(جنوب:إفريقيا)
text(Swaziland)	text(borders:with)	text(Mozambique)
text(Wallis:y:Futuna)	text(can:be:found:in)	text(Polynesia)
text(Wallis:en:Futuna)	text(was:positioned:in)	text(أوقيانوسيا)
text(उरुग्वे)	text(is:positioned:in)	text(América:del:Sur)
text(الأوروغواي)	text(was:sited:in)	text(Amerika)
text(烏拉圭)	text(borders)	text(Argentina)
text(Uruguay)	text(is:butted:against)	text(Brazil)
text(Zambia)	text(is:sited:in)	text(شرق:إفريقيا)
text(زامبيا)	text(was:localized:in)	text(إفريقيا)
text(Zambia)	text(was:butted:against)	text(Tanzania)
text(ज़ाम्बिया)	text(was:adjacent:to)	text(Mozambique)
