Country,ID,nl,en,zh,es,hi,ar
vanuatu,Q686,Vanuatu,Vanuatu,萬那杜,Vanuatu,वानूआटू,فانواتو
isle_of_man,Q9676,Man,Isle of Man,马恩岛,Isla de Man,आइल ऑफ़ मैन,جزيرة مان
laos,Q819,Laos,Laos,老撾,Laos,लाओस,لاوس
china,Q148,Volksrepubliek China,People's Republic of China,中华人民共和国,República Popular China,चीनी जनवादी गणराज्य,الصين
aruba,Q21203,Aruba,Aruba,阿魯巴,Aruba,अरूबा,أروبا
papua_new_guinea,Q691,Papoea-Nieuw-Guinea,Papua New Guinea,巴布亚新几内亚,Papúa Nueva Guinea,पापुआ न्यू गिनी,بابوا غينيا الجديدة
comoros,Q970,Comoren,Comoros,葛摩,Comoras,कोमोरोस,جزر القمر
gambia,Q1005,Gambia,The Gambia,岡比亞,Gambia,गाम्बिया,غامبيا
bermuda,Q23635,Bermuda,Bermuda,百慕大,Bermudas,बरमूडा,برمودا
bangladesh,Q902,Bangladesh,Bangladesh,孟加拉國,Bangladés,बांग्लादेश,بنغلاديش
tonga,Q678,Tonga,Tonga,東加,Tonga,टोंगा,تونغا
paraguay,Q733,Paraguay,Paraguay,巴拉圭,Paraguay,पैराग्वे,باراغواي
tokelau,Q36823,Tokelau,Tokelau,托克劳,Tokelau,टोकेलाऊ,توكيلاو
gabon,Q1000,Gabon,Gabon,加蓬,Gabón,गबॉन,الغابون
bahrain,Q398,Bahrein,Bahrain,巴林,Baréin,बहरीन,البحرين
azerbaijan,Q227,Azerbeidzjan,Azerbaijan,阿塞拜疆,Azerbaiyán,अज़रबैजान,أذربيجان
uzbekistan,Q265,Oezbekistan,Uzbekistan,乌兹别克斯坦,Uzbekistán,उज़्बेकिस्तान,أوزبكستان
northern_mariana_islands,Q16644,Noordelijke Marianen,Northern Mariana Islands,北马里亚纳群岛,Islas Marianas del Norte,उत्तरी मारियाना द्वीप,جزر ماريانا الشمالية
saudi_arabia,Q851,Saoedi-Arabië,Saudi Arabia,沙特阿拉伯,Arabia Saudí,सउदी अरब,السعودية
belize,Q242,Belize,Belize,伯利兹,Belice,बेलीज़,بليز
niue,Q34020,Niue,Niue,紐埃,Niue,निउए,نييوي
iraq,Q796,Irak,Iraq,伊拉克,Irak,इराक,العراق
réunion,Q17070,Réunion,Réunion,留尼汪,Reunión,रेयूनियों,ريونيون
mozambique,Q1029,Mozambique,Mozambique,莫桑比克,Mozambique,मोज़ाम्बीक,موزمبيق
kuwait,Q817,Koeweit,Kuwait,科威特,Kuwait,कुवैत,الكويت
nicaragua,Q811,Nicaragua,Nicaragua,尼加拉瓜,Nicaragua,निकारागुआ,نيكاراغوا
cocos_keeling_islands,Q36004,Cocoseilanden,Cocos (Keeling) Islands,科科斯（基林）群島,islas Cocos,कोकोस (कीलिंग) द्वीपसमूह,جزر كوكوس
seychelles,Q1042,Seychellen,Seychelles,塞舌尔,Seychelles,सेशेल्स,سيشل
mauritania,Q1025,Mauritanië,Mauritania,毛里塔尼亞,Mauritania,मॉरीतानिया,موريتانيا
belgium,Q31,België,Belgium,比利時,Bélgica,बेल्जियम,بلجيكا
el_salvador,Q792,El Salvador,El Salvador,薩爾瓦多,El Salvador,अल साल्वाडोर,السلفادور
western_sahara,Q40362,Sahrawi Arabische Democratische Republiek,Sahrawi Arab Democratic Republic,撒拉威阿拉伯民主共和國,República Árabe Saharaui Democrática,सहरावी अरब जनतांत्रिक गणराज्य,الجمهورية العربية الصحراوية الديمقراطية
latvia,Q211,Letland,Latvia,拉脫維亞,Letonia,लातविया,لاتفيا
saint_martin,Q126125,Sint-Maarten,Saint-Martin,法屬聖馬丁,San Martín,सेंट मार्टिन की सामूहिकता,تجمع سان مارتين
sweden,Q34,Zweden,Sweden,瑞典,Suecia,स्वीडन,السويد
vatican_city,Q237,Vaticaanstad,Vatican City,梵蒂岡城國,Ciudad del Vaticano,वैटिकन नगर,الفاتيكان
ethiopia,Q115,Ethiopië,Ethiopia,埃塞俄比亚,Etiopía,इथियोपिया,إثيوبيا
