0	<mask> ( (listen), historically Belau, Pa<mask>, or Pelew), officially the Republic of <mask> (<mask>an: Beluu er a Belau), is an island country located in the western Pacific Ocean. The country contains approximately 340 islands, forming the western chain of the Caroline Islands in <mask>, and has an area of 466 square kilometers (180 sq mi). The most populous island is Koror. The capital Ngerulmud is located on the nearby island of Babeldaob, in Melekeok State. <mask> shares maritime boundaries with the <mask>, <mask>, and the Federated States of <mask>.The country was originally settled approximately 3,000 years ago by migrants from Insular Southeast Asia. The islands were first explored by Europeans in the 16th century, and were made part of the Spanish East Indies in 1574. Following <mask>'s defeat in the Spanish–American War in 1898, the islands were sold to Imperial <mask> in 1899 under the terms of the German–Spanish Treaty, where they were administered as part of German New <mask>. After World War I the islands were made a part of the <mask>ese-ruled South Pacific Mandate by the League of Nations. During World War II, skirmishes, including the major Battle of Peleliu, were fought between American and <mask>ese troops as part of the Mariana and <mask> Islands campaign. Along with other Pacific Islands, <mask> was made a part of the <mask>-governed Trust Territory of the Pacific Islands in 1947. Having voted against joining the Federated States of <mask> in 1979, the islands gained full sovereignty in 1994 under a Compact of Free Association with the <mask>.Politically, <mask> is a presidential republic in free association with the <mask>, which provides defense, funding, and access to social services. Legislative power is concentrated in the bicameral <mask> National Congress. <mask>'s economy is based mainly on tourism, subsistence agriculture and fishing, with a significant portion of gross national product (GNP) derived from foreign aid. The country uses the <mask> dollar as its currency. The islands' culture mixes <mask>n, Melanesian, Asian, and Western elements. Ethnic <mask>ans, the majority of the population, are of mixed <mask>n, Melanesian, and Austronesian descent. A smaller proportion of the population is descended from <mask>ese. The country's two official languages are <mask>an (a member of the Austronesian language family) and English, with <mask>ese, Sonsorolese, and Tobian recognized as regional languages.
1	<mask> (,  (listen),  or  (listen); Arabic: قطر‎ Qaṭar [ˈqɑtˤɑr]; local vernacular pronunciation: [ˈɡɪtˤɑr]), officially the State of <mask> (Arabic: دولة قطر‎ Dawlat Qaṭar), is a country located in Western Asia, occupying the small <mask> Peninsula on the northeastern coast of the Arabian Peninsula. Whether the sovereign state should be regarded as a constitutional monarchy or an absolute monarchy is disputed. Its sole land border is with neighbouring Gulf Cooperation Council (GCC) monarchy <mask> to the south, with the rest of its territory surrounded by the Persian Gulf. The Gulf of <mask>, an inlet of the Persian Gulf, separates <mask> from nearby <mask>.In early 2017, <mask>'s total population was 2.6 million: 313,000 <mask>i citizens and 2.3 million expatriates. Islam is the official religion of <mask>. The country has the highest per capita income in the world. <mask> is classified by the UN as a country of very high human development and is widely regarded as the most advanced Arab state for human development. <mask> is a high-income economy, backed by the world's third-largest natural gas reserves and oil reserves.<mask> has been ruled by the House of Thani since Mohammed bin Thani signed a treaty with the British in 1868 that recognised its separate status. Following Ott<mask> rule, <mask> became a British protectorate in the early 20th century until gaining independence in 1971. In 2003, the constitution was overwhelmingly approved in a referendum, with almost 98% in favour. In the 21st century, <mask> emerged as a significant power in the Arab world both through its globally expanding media group, Al Jazeera Media Network, and reportedly supporting several rebel groups financially during the Arab Spring. For its size, <mask> wields disproportionate influence in the world, and has been identified as a middle power. <mask> is currently the subject of a diplomatic and economic embargo by <mask>, the <mask> (UAE), <mask>, and <mask>, which began in June 2017. <mask> has also proposed the construction of the Salwa Canal, which would run along the Saudi-<mask> border, effectively turning <mask> into an island.
2	<mask>, officially the Republic of <mask>, is a country in West Africa. Formerly known as French <mask>, it is today sometimes called <mask>-Conakry to distinguish it from its neighbor <mask>-Bissau and the Republic of <mask>. <mask> has abundant natural resources including 25 percent or more of the world's known bauxite reserves. <mask> also has diamonds, gold, and other metals.
3	<mask> ( (listen), Italian: [sam maˈriːno]), officially the Republic of <mask> (Italian: Repubblica di <mask>), also known as the Most Serene Republic of <mask> (Italian: Serenissima Repubblica di <mask>), is a small independent nation on the northeastern side of the Apennine Mountains, completely surrounded by <mask>.It is just over 61 km2 (24 sq mi), with a population of 33,562. Its capital is the City of <mask> and its largest settlement is Dogana in the municipality of Serravalle. <mask> has the smallest population of any member of the Council of Europe. The official language is Italian, and <mask> maintains strong financial and ethno-cultural connections to its much larger neighbour. It is located close to the riviera of Rimini, one of <mask>'s main coastal resort areas.The country derives its name from Saint Marinus, a stonemason from the R<mask> colony on the island of Rab, in modern-day <mask>. In AD 257, Marinus, according to legend, participated in the reconstruction of Rimini's city walls after their destruction by Liburnian pirates. Marinus then went on to found an independent monastic community on Monte Titano in AD 301; thus, <mask> lays claim to be the oldest extant sovereign state as well as the oldest constitutional republic.The nation is governed by the Constitution of <mask> (Leges Statutae Republicae Sancti Marini), a series of six books written in Latin in the late 16th century, that dictate the country's political system, among other matters. <mask> is considered to have the earliest written governing documents, or constitution, still in effect.The country's economy mainly relies on finance, industry, services and tourism. It is among one of the wealthiest countries in the world in terms of GDP (per capita), with a figure comparable to the most developed European regions. <mask> is considered to have a highly stable economy, with one of the lowest unemployment rates in Europe, no national debt and a budget surplus. It has the world's highest rate of car ownership, being the only country with more vehicles than people.<mask> is one of the only three countries in the world to be completely surrounded by another country (the others being <mask>, also surrounded by <mask>, and <mask>, surrounded by <mask>). It is the third smallest country in Europe, with only <mask> and <mask> being smaller. It is also the fifth smallest country in the world.
4	<mask> ( (listen); French: Sainte-Lucie) is a sovereign island country in the West Indies in the eastern Caribbean Sea on the boundary with the Atlantic Ocean.  The island was previously called Iyonola, the name  given to the island by the native Amer<mask>ns and later, Hewanorra, the name given by the native Caribs. Part of the Lesser Antilles, it is located north/northeast of the island of Saint Vincent, northwest of <mask> and south of <mask>. It covers a land area of 617 km2 (238 square miles) and reported a population of 165,595 in the 2010 census. Its capital is Castries.The French were the island's first European settlers. They signed a treaty with the native Island Caribs in 1660. England took control of the island from 1663 to 1667. In ensuing years, it was at war with <mask> fourteen times, and the rule of the island changed frequently (it was ruled seven times each by the French and British). In 1814, the British took definitive control of the island. Because it switched so often between British and French control, <mask> was also known as the "Helen of the West Indies" after the Greek mythological character, Helen of Troy.Representative government came about in 1840 (universal suffrage was established in 1953). From 1958 to 1962, the island was a member of the West Indies Federation. On 22 February 1979, <mask> became an independent state and a member of the Commonwealth of Nations. <mask> is a mixed jurisdiction, meaning that it has a legal system based in part on both the civil law and English common law. The Civil Code of St. Lucia of 1867 was based on the Quebec Civil Code of 1866, as supplemented by English common law-style legislation. It is also a member of Organisation internationale de la Francophonie.
5	<mask> ( (listen); French: Sénégal), officially the Republic of <mask> (French: République du Sénégal), is a country in West Africa. <mask> is bordered by <mask> in the north, <mask> to the east, <mask> to the southeast, and <mask>-Bissau to the southwest. <mask> also borders The <mask>, a country occupying a narrow sliver of land along the banks of the <mask> River, which separates <mask>'s southern region of Casamance from the rest of the country. <mask> also shares a maritime border with <mask>. <mask>'s economic and political capital is Dakar.The unitary presidential republic  is the westernmost country in the mainland of the Old World, or Afro-Eurasia, and owes its name to the <mask> River, which borders it to the east and north. <mask> covers a land area of almost 197,000 square kilometres (76,000 sq mi) and has an estimated population of about 15 million. The climate is typically Sahelian, though there is a rainy season.
6	<mask> (UK: , US:  (listen); Sinhala: ශ්‍රී ලංකා Śrī Laṃkā; Tamil: இலங்கை Ilaṅkai), officially the Democratic Socialist Republic of <mask>, is an island country in South Asia, located in the <mask>n Ocean to the southwest of the Bay of Bengal and to the southeast of the Arabian Sea. The island is geographically separated from the <mask>n subcontinent by the Gulf of Mannar and the Palk Strait. The legislative capital, Sri Jayawardenepura Kotte, is a suburb of the commercial capital and largest city, Colombo.<mask>'s documented history spans 3,000 years, with evidence of pre-historic human settlements dating back to at least 125,000 years. It has a rich cultural heritage and the first known Buddhist writings of <mask>, the Pāli Canon, date back to the Fourth Buddhist council in 29 BC. Its geographic location and deep harbours made it of great strategic importance from the time of the ancient Silk Road through to the modern Maritime Silk Road.<mask> was known from the beginning of British colonial rule as Ceylon (, US also ). A nationalist political movement arose in the country in the early 20th century to obtain political independence, which was granted in 1948; the country became a republic and adopted its current name in 1972. <mask>'s recent history has been marred by a 26-year civil war, which ended decisively when the <mask> Armed Forces defeated the Liberation Tigers of Tamil Eelam (LTTE) in 2009.The current constitution stipulates the political system as a republic and a unitary state governed by a semi-presidential system. It has had a long history of international engagement, as a founding member of the South Asian Association for Regional Cooperation (SAARC), and a member of the United Nations, the Commonwealth of Nations, the G77, and the Non-Aligned Movement. Along with the <mask>, <mask> is one of only two South Asian countries rated "high" on the Human Development Index (HDI), with its HDI rating and per capita income the highest among South Asian nations. The <mask>n constitution accords Buddhism the "foremost place", although it does not identify it as a state religion. Buddhism is given special privileges in the <mask>n constitution.The island is home to many cultures, languages and ethnicities. The majority of the population are from the Sinhalese ethnicity, while a large minority of Tamils have also played an influential role in the island's history. Moors, Burghers, Malays, Chinese, and the indigenous Vedda are also established groups on the island.
7	<mask> ( (listen); an-TEE-g(w)ə ... bar-B(Y)OO-də) is a country in the West Indies in the Americas, lying between the Caribbean Sea and the Atlantic Ocean. It consists of two major islands, <mask>, and a number of smaller islands (including Great Bird, Green, Guiana, Long, Maiden and York Islands and further south, the island of Redonda). The permanent population numbers about 95,900 (2018 est.), with 97% being resident on Antigua. The capital and largest port and city is St. John's on Antigua, with Codrington being the largest town on Barbuda. Lying near each other (the main Barbuda airport is less than 0.5° of latitude, or 30 nautical miles, north of the main Antigua airport), <mask> are in the middle of the Leeward Islands, part of the Lesser Antilles, roughly at 17°N of the equator.The island of Antigua was explored by Christopher Columbus in 1493 and named for the Church of Santa María La Antigua. Antigua was colonized by Britain in 1632; Barbuda island was first colonized in 1678. <mask> joined the West Indies Federation in 1958. With the breakup of the federation, it became one of the West Indies Associated States in 1967. Following by self-governing on its internal affairs, independence was granted from <mask> on 1 November 1981.<mask> remains a member of the Commonwealth and Elizabeth II is the country's queen and head of state.
8	<mask> ( (listen); Spanish pronunciation: [ˈkuβa]), officially the Republic of <mask> (Spanish: República de <mask> ), is a country comprising the island of <mask> as well as Isla de la Juventud and several minor archipelagos. <mask> is located in the northern Caribbean where the Caribbean Sea, Gulf of <mask> and Atlantic Ocean meet. It is east of the Yucatán Peninsula (<mask>), south of both the U.S. state of Florida and the <mask>, west of <mask> and north of both <mask> and the <mask>. Havana is the largest city and capital; other major cities include Santiago de <mask> and Camagüey. The area of the Republic of <mask> is 110,860 square kilometers (42,800 sq mi) (109,884 square kilometers (42,426 sq mi) without the territorial waters). The island of <mask> is the largest island in <mask> and in the Caribbean, with an area of 105,006 square kilometers (40,543 sq mi), and the second-most populous after Hispaniola, with over 11 million inhabitants.The territory that is now <mask> was inhabited by the Ciboney Taíno people from the 4th millennium BC until Spanish colonization in the 15th century. From the 15th century, it was a colony of <mask> until the Spanish–American War of 1898, when <mask> was occupied by the <mask> and gained nominal independence as a de facto <mask> protectorate in 1902. As a fragile republic, in 1940 <mask> attempted to strengthen its democratic system, but mounting political radicalization and social strife culminated in a coup and subsequent dictatorship under Fulgencio Batista in 1952. Open corruption and oppression under Batista's rule led to his ousting in January 1959 by the 26th of July Movement, which afterwards established communist rule under the leadership of Fidel Castro. Since 1965, the state has been governed by the Communist Party of <mask>. The country was a point of contention during the Cold War between the Soviet Union and the <mask>, and a nuclear war nearly broke out during the <mask>n Missile Crisis of 1962. <mask> is one of a few extant Marxist–Leninist socialist states, where the role of the vanguard Communist Party is enshrined in the Constitution. Independent observers have accused the <mask>n government of numerous human rights abuses, including arbitrary imprisonment.Culturally, <mask> is considered part of Latin America. It is a multiethnic country whose people, culture and customs derive from diverse origins, including the aboriginal Taíno and Ciboney peoples, the long period of Spanish colonialism, the introduction of African slaves and a close relationship with the Soviet Union in the Cold War.<mask> is a sovereign state and a founding member of the United Nations, the G77, the Non-Aligned Movement, the African, Caribbean and Pacific Group of States, ALBA and Organization of American States. It has currently one of the world's only planned economies, and its economy is dominated by the exports of sugar, tobacco, coffee and skilled labor. According to the Human Development Index, <mask> has high human development and is ranked the eighth highest in North America, though 67th in the world. It also ranks highly in some metrics of national performance, including health care and education. It is the only country in the world to meet the conditions of sustainable development put forth by the WWF.
9	<mask> () (in full, the Islands of <mask>) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,759 km (1,093 mi) northeast of <mask>. The capital city is Hamilton. <mask> is self-governing, with its own constitution and government and a Parliament which makes local laws. The <mask> retains responsibility for defence and foreign relations. As of July 2018, its population is 71,176, the highest of the British overseas territories.<mask>'s two largest economic sectors are offshore insurance and reinsurance, and tourism. <mask> had one of the world's highest GDP per capita for most of the 20th century. It has a subtropical climate and lies in the hurricane belt and thus is prone to related severe weather; however, it is somewhat protected by a coral reef that surrounds the island and its position at the north of the belt, which limits the direction and severity of approaching storms.
